blue_win,GoldDiff,MinionDiff,JgMinionDiff,LevelDiff,KillDiff,HeraldDiff,DragonDiff,TowersDiff
1,13601,93,48,2.2,13,1,1,7
0,-5048,16,-13,-1,-8,-1,-2,-2
1,9653,120,-16,0.8,11,-1,0,4
1,96,-13,-8,0,4,1,0,0
1,-417,-43,-5,-0.2,0,-1,0,0
1,-1672,18,45,0,-4,-1,1,-1
1,5102,57,-8,0.8,6,1,-2,2
0,-10937,-72,-18,-1,-12,-1,0,-4
0,-8337,-88,-11,-1.2,-11,1,-1,-3
1,-2700,-34,-6,0.4,-3,-1,0,-2
1,745,-27,-19,0.4,6,-1,2,-1
0,-5244,-54,-13,-0.8,-8,1,0,-1
1,4862,7,20,0.2,4,1,2,1
0,-5888,-23,-60,-1,-10,-1,-1,-1
0,-2359,39,-39,-0.6,-6,0,-2,0
1,1974,-5,0,0.6,5,1,1,0
1,-2149,-17,11,0.2,-2,1,2,0
1,12147,110,7,2.2,18,1,0,3
0,-4526,-39,-27,-0.4,-3,0,-1,-2
1,-3168,-27,21,0,1,0,2,-1
0,1168,19,15,0.2,3,1,2,1
1,3950,51,16,0.4,3,1,0,2
0,-4163,-13,-14,-0.8,-9,0,-1,0
1,5138,92,-3,0.2,2,1,-1,2
0,-3057,-1,-41,-0.2,0,-1,0,-1
0,2701,-25,13,0,2,1,0,1
0,-2422,23,8,0,-5,1,2,0
1,2877,-25,16,0.4,5,1,-1,1
0,-1218,-8,-11,-0.2,-5,1,-2,1
0,-11467,-124,1,-1.6,-10,0,-2,-5
1,-2357,-32,-20,-0.6,-2,-1,-1,0
0,-2223,-4,-12,0.2,-3,0,-2,0
0,-1312,-35,-4,0,0,-1,0,-1
0,6357,29,34,0.8,8,1,2,2
1,-111,-15,2,-0.2,3,0,0,-1
1,3406,-41,31,0.4,6,1,1,1
0,-4657,3,-8,-0.8,-9,1,0,-1
1,2245,13,6,0.6,3,1,2,0
1,3204,69,20,0.4,0,1,2,2
1,4730,42,15,0.8,5,-1,1,1
0,-6071,-72,-23,-1.2,-13,1,-2,-1
1,11438,83,43,1.2,16,1,2,4
0,-2006,-54,-9,-0.6,-1,-1,0,-1
1,781,-39,28,0.2,0,1,2,0
0,-3399,-22,-30,-0.6,-5,-1,0,-2
0,-5919,-77,8,-0.8,-6,-1,-1,-2
1,4514,65,-37,0,8,0,0,1
0,-6711,-49,-11,-1,-6,-1,-2,-2
0,-2478,30,1,-0.4,-5,-1,0,0
0,755,-35,10,0,0,1,1,0
1,4571,51,4,0.6,3,0,0,1
0,-339,-35,17,-0.6,-4,1,1,0
0,3245,-3,2,0.8,4,-1,0,0
1,232,-22,-20,-0.2,4,1,0,0
0,-4859,-51,-36,-0.4,-5,1,-1,-2
1,1307,-33,-19,0.2,7,1,2,0
0,1450,-4,-6,0,1,1,-1,2
1,5410,-1,25,0.6,7,1,2,1
0,-851,-22,-15,0.4,0,0,-2,0
1,8407,25,24,1.2,6,1,1,5
1,-1519,-32,5,-0.2,-5,1,2,0
0,-7638,-92,-25,-1.2,-9,0,-2,-2
1,8315,50,30,1,12,1,1,4
1,1952,-14,-1,0,-3,1,-1,2
1,5479,49,33,0.8,6,1,1,1
1,554,-15,16,0.8,3,-1,0,-1
1,6433,27,21,0.8,6,1,1,2
1,-2240,-26,-27,-0.2,-1,-1,-2,-2
0,4922,4,18,0.6,6,1,-2,1
1,4704,20,21,0.4,8,1,0,1
1,1490,30,17,0,-2,1,2,1
1,2600,4,-9,0.4,3,-1,0,1
1,-434,-43,-25,-0.8,-2,1,-1,2
0,-39,33,-24,-0.2,2,-1,-2,-1
